WFRMS, V_rate
3.25, 100.05205
3.30, 100.05205
3.35, 100.05205
3.40, 100.05205
3.45, 100.05205
3.50, 100.05205
3.55, 100.05205
3.60, 100.05205
3.65, 100.05205
3.70, 100.05205
3.75, 100.05205
3.80, 100.05205
3.85, 100.05205
3.90, 100.05205
3.95, 100.05205
4.00, 100.05205
4.05, 100.05205
4.10, 100.05205
4.15, 100.05205
4.20, 100.05205
4.25, 100.05205
4.30, 100.05205
4.35, 100.05205
4.40, 100.05205
4.45, 100.05205
4.50, 100.05205
4.55, 100.05205
4.60, 100.05205
4.65, 100.05205
4.70, 100.05205
4.75, 100.05205
4.80, 100.05205
4.85, 100.05205
4.90, 100.05205
4.95, 100.05205
WFRMS, V_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00006
-4.05, 0.01328
-4.00, 0.01328
-3.95, 0.01328
-3.90, 0.01328
-3.85, 0.01328
-3.80, 0.01328
-3.75, 0.01328
-3.70, 0.06609
-3.65, 0.11790
-3.60, 0.11790
-3.55, 0.11790
-3.50, 0.17036
-3.45, 0.22313
-3.40, 0.27584
-3.35, 0.42948
-3.30, 0.58661
-3.25, 0.79771
-3.20, 1.00224
-3.15, 1.10767
-3.10, 1.37554
-3.05, 1.84991
-3.00, 2.16838
-2.95, 2.54433
-2.90, 3.06889
-2.85, 3.70274
-2.80, 4.79013
-2.75, 5.94735
-2.70, 6.77679
-2.65, 7.78845
-2.60, 9.68486
-2.55, 11.63606
-2.50, 13.20134
-2.45, 14.97970
-2.40, 17.07725
-2.35, 19.70303
-2.30, 22.12284
-2.25, 25.22979
-2.20, 29.09567
-2.15, 32.56659
-2.10, 36.32353
-2.05, 40.91094
-2.00, 44.78100
-1.95, 49.66579
-1.90, 54.36795
-1.85, 58.72944
-1.80, 61.38259
-1.75, 65.43513
-1.70, 68.38532
-1.65, 70.33206
-1.60, 72.03070
-1.55, 73.02036
-1.50, 73.71156
-1.45, 74.06874
-1.40, 74.33221
-1.35, 74.72324
-1.30, 75.12441
-1.25, 75.56642
-1.20, 75.76606
-1.15, 75.92436
-1.10, 76.14796
-1.05, 76.41187
-1.00, 76.83199
-0.95, 76.84789
-0.90, 76.90008
-0.85, 77.11091
-0.80, 77.21519
-0.75, 77.32072
-0.70, 77.37331
-0.65, 77.37331
-0.60, 77.47885
-0.55, 77.47890
-0.50, 77.53394
-0.45, 77.53394
-0.40, 77.68459
-0.35, 77.73735
-0.30, 77.73735
-0.25, 77.73735
-0.20, 77.79018
-0.15, 77.84297
-0.10, 77.89455
-0.05, 77.89456
0.00, 77.89456
0.05, 77.99927
0.10, 77.99927
0.15, 78.15303
0.20, 78.15304
0.25, 78.15304
0.30, 78.20570
0.35, 78.20570
0.40, 78.20570
0.45, 78.20570
0.50, 78.20573
0.55, 78.20573
0.60, 78.20573
0.65, 78.20573
0.70, 78.20573
0.75, 78.20573
0.80, 78.20573
0.85, 78.20573
0.90, 78.20573
0.95, 78.20573
1.00, 78.20573
1.05, 78.20573
1.10, 78.20573
1.15, 78.20573
1.20, 78.20573
1.25, 78.20573
1.30, 78.20573
1.35, 78.20573
1.40, 78.20573
1.45, 78.20573
1.50, 78.20573
1.55, 78.20573
1.60, 78.20573
1.65, 78.20573
1.70, 78.20573
1.75, 78.20573
1.80, 78.20573
1.85, 78.20573
1.90, 78.20573
1.95, 78.20573
2.00, 78.20573
2.05, 78.20573
2.10, 78.20573
2.15, 78.20573
2.20, 78.20573
2.25, 78.20573
2.30, 78.20573
2.35, 78.20573
2.40, 78.20573
2.45, 78.20573
2.50, 78.20573
2.55, 78.20573
2.60, 78.20573
2.65, 78.20573
2.70, 78.20573
2.75, 78.20573
2.80, 78.20573
2.85, 78.20573
2.90, 78.20573
2.95, 78.20573
3.00, 78.20573
3.05, 100.05205
3.10, 100.05205
3.15, 100.05205
3.20, 100.05205
3.25, 100.05205
3.30, 100.05205
3.35, 100.05205
3.40, 100.05205
3.45, 100.05205
3.50, 100.05205
3.55, 100.05205
3.60, 100.05205
3.65, 100.05205
3.70, 100.05205
3.75, 100.05205
3.80, 100.05205
3.85, 100.05205
3.90, 100.05205
3.95, 100.05205
4.00, 100.05205
4.05, 100.05205
