WFRMS, V_rate
-5.00, 0.00000
-4.95, 0.00000
-4.90, 0.00000
-4.85, 0.00000
-4.80, 0.00000
-4.75, 0.00000
-4.70, 0.00000
-4.65, 0.00000
-4.60, 0.00000
-4.55, 0.00000
-4.50, 0.00000
-4.45, 0.00000
-4.40, 0.00000
-4.35, 0.00000
-4.30, 0.00000
-4.25, 0.00000
-4.20, 0.00000
-4.15, 0.00000
-4.10, 0.00000
-4.05, 0.00000
-4.00, 0.00000
-3.95, 0.00000
-3.90, 0.00000
-3.85, 0.00000
-3.80, 0.00000
-3.75, 0.00000
-3.70, 0.00000
-3.65, 0.00000
-3.60, 0.00000
-3.55, 0.00000
-3.50, 0.00000
-3.45, 0.00000
-3.40, 0.00000
-3.35, 0.00000
-3.30, 0.00000
-3.25, 0.00000
-3.20, 0.00013
-3.15, 0.00013
-3.10, 0.00013
-3.05, 0.00013
-3.00, 0.00026
-2.95, 0.00026
-2.90, 0.00038
-2.85, 0.00038
-2.80, 0.00051
-2.75, 0.00051
-2.70, 0.00064
-2.65, 0.00102
-2.60, 0.00128
-2.55, 0.00153
-2.50, 0.00191
-2.45, 0.00281
-2.40, 0.00319
-2.35, 0.00408
-2.30, 0.00472
-2.25, 0.00574
-2.20, 0.00752
-2.15, 0.00880
-2.10, 0.01084
-2.05, 0.01339
-2.00, 0.01670
-1.95, 0.01925
-1.90, 0.02308
-1.85, 0.02805
-1.80, 0.03736
-1.75, 0.04616
-1.70, 0.05853
-1.65, 0.07396
-1.60, 0.09066
-1.55, 0.11412
-1.50, 0.14179
-1.45, 0.16717
-1.40, 0.20198
-1.35, 0.24189
-1.30, 0.29136
-1.25, 0.34900
-1.20, 0.40842
-1.15, 0.47396
-1.10, 0.55416
-1.05, 0.64584
-1.00, 0.74874
-0.95, 0.86834
-0.90, 1.00045
-0.85, 1.14211
-0.80, 1.30226
-0.75, 1.48792
-0.70, 1.69576
-0.65, 1.91265
-0.60, 2.15161
-0.55, 2.41045
-0.50, 2.68154
-0.45, 2.96181
-0.40, 3.25916
-0.35, 3.56391
-0.30, 3.87657
-0.25, 4.20006
-0.20, 4.51934
-0.15, 4.85533
-0.10, 5.19834
-0.05, 5.53739
0.00, 5.88791
0.05, 6.24876
0.10, 6.61842
0.15, 6.98131
0.20, 7.32482
0.25, 7.66681
0.30, 7.98953
0.35, 8.27694
0.40, 8.52125
0.45, 8.72642
